DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr2,GO:0006807,BP,e,nitrogen compound metabolic process,294/606,460/1096,1.12e-06,2,294,0.00548,"AAK1, ABCB6, ACADL, ACVR1, ACVR1C, ACVR2A, ADAM17, ADI1, ALLC, APLF, ARID5A, ASB3, ASNSD1, ASPRV1, ASTL, ATF2, ATIC, ATOH8, ATP6V1B1, B3GNT2, B3GNT7, BARD1, BIRC6, BMP10, BMPR2, BZW1, C2orf40, CACNB4, CALCRL, CALM2, CARF, CASP10, CASP8, CCDC88A, CCNT2, CCT4, CCT7, CDK15, CDKL4, CERS6, CFLAR, CHPF, CIR1, CLK1, CMPK2, CNNM3, COPS8, CPS1, CPSF3, CREB1, CTDSP1, CUL3, CWC22, DARS, DCAF17, DCTN1, DDX1, DGUOK, DNAJB2, DNAJC10, DNPEP, DPP4, DPY30, DPYSL5, DUSP11, DUSP19, DUSP2, E2F6, EEF1B2, EGR4, EIF2AK2, EIF2AK3, EIF2B4, EPC2, EPHA4, ERCC3, ERLEC1, FARSB, FBXO11, FHL2, FIGLA, FKBP1B, FN1, FOXN2, GALNT5, GCG, GDF7, GEMIN6, GEN1, GGCX, GIGYF2, GLS, GMPPA, GPR75-ASB3, GRHL1, GTF3C2, GTF3C3, HAT1, HECW2, HIBCH, HNRNPA3, HNRNPLL, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HS6ST1, HSPD1, HTR2B, HTRA2, IDH1, IHH, IKZF2, IL1B, IMP4, INO80B, INO80D, ITGB1BP1, IWS1, KANSL3, KDM3A, KLF11, KLF7, LBH, LBX2, LIPT1, LPIN1, LRPPRC, M1AP, MAP2, MAP3K19, MAP3K2, MAP4K4, MAT2A, MCEE, MCFD2, METAP1D, METTL21A, METTL5, METTL8, MGAT4A, MGAT5, MMADHC, MOGS, MPHOSPH10, MRPL19, MRPL35, MRPL44, MRPS5, MSH6, MTHFD2, MXD1, MYT1L, NAB1, NABP1, NAGK, NDUFS1, NFE2L2, NHEJ1, NIF3L1, NIFK, NMI, NOP58, NOTO, NR4A2, NT5C1B, NT5C1B-RDH14, ODC1, ORC2, ORC4, ORMDL1, OSGEPL1, OSR1, PAPOLG, PAX8, PCBP1, PCGF1, PDE11A, PDIA6, PDK1, PELI1, PER2, PGAP1, PIKFYVE, PMS1, PNKD, POLR1A, POLR1B, PPIG, PPIL3, PPM1B, PREPL, PRKRA, PROC, PRPF40A, PSMD1, PSMD14, PTCD3, PTPN18, PTPN4, PTPRN, PUS10, RANBP2, REL, RFX8, RHBDD1, RNASEH1, RNF103, RNF144A, RNF149, RNF181, RNF25, RPE, RPIA, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SCRN3, SERTAD2, SF3B1, SF3B14, SFTPB, SLC30A6, SLC5A6, SMARCAL1, SMC6, SMEK2, SMPD4, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP9, SPAST, SPEG, SPOPL, SPTBN1, SRBD1, SRSF7, SSB, ST3GAL5, STAMBP, STAT1, STAT4, STK16, STK17B, STK36, STK39, STRADB, SUCLG1, TAF1B, TCF7L1, TET3, THNSL2, TLX2, TP53I3, TPRKB, TRABD2A, TRAK2, TRIB2, TSN, TTL, TUBA4A, TYW5, UBE2E3, UBE2F, UBR3, UGGT1, UPP2, USP34, USP37, USP39, UXS1, VAX2, WDR12, WDR33, WDR92, XPO1, XRCC5, ZC3H8, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF514, ZRANB3"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr2,GO:0043170,BP,e,macromolecule metabolic process,258/606,398/1096,1.56e-06,3,258,0.00548,"AAK1, ACVR1, ACVR1C, ACVR2A, ADAM17, APLF, ARID5A, ASB3, ASPRV1, ASTL, ATF2, ATOH8, B3GNT2, B3GNT7, BARD1, BIRC6, BMP10, BMPR2, BZW1, C2orf40, CALM2, CARF, CASP10, CASP8, CCDC88A, CCNT2, CCT4, CCT7, CD28, CDK15, CDKL4, CFLAR, CHPF, CIR1, CLK1, CNNM3, COPS8, CPS1, CPSF3, CREB1, CTDSP1, CUL3, CWC22, DARS, DCAF17, DCTN1, DDX1, DGUOK, DNAJB2, DNAJC10, DNPEP, DPP4, DPY30, DUSP11, DUSP19, DUSP2, E2F6, EEF1B2, EGR4, EIF2AK2, EIF2AK3, EIF2B4, EPC2, EPHA4, ERCC3, ERLEC1, FARSB, FBXO11, FHL2, FIGLA, FKBP1B, FN1, FOXN2, GALNT5, GCG, GDF7, GEMIN6, GEN1, GGCX, GIGYF2, GMPPA, GPR75-ASB3, GRHL1, GTF3C2, GTF3C3, HAT1, HECW2, HNRNPA3, HNRNPLL, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HS6ST1, HSPD1, HTRA2, IHH, IKZF2, IL1B, IMP4, INO80B, INO80D, ITGB1BP1, IWS1, KANSL3, KDM3A, KLF11, KLF7, LBH, LBX2, LIPT1, LPIN1, LRPPRC, M1AP, MAP2, MAP3K19, MAP3K2, MAP4K4, MCFD2, METAP1D, METTL21A, METTL5, METTL8, MGAT4A, MGAT5, MOGS, MPHOSPH10, MRPL19, MRPL35, MRPL44, MRPS5, MSH6, MXD1, MYT1L, NAB1, NABP1, NFE2L2, NHEJ1, NIFK, NMI, NOP58, NOTO, NR4A2, ORC2, ORC4, OSGEPL1, OSR1, PAPOLG, PAX8, PCBP1, PCGF1, PDIA6, PDK1, PELI1, PER2, PGAP1, PIKFYVE, PMS1, POLR1A, POLR1B, PPIG, PPIL3, PPM1B, PREPL, PRKRA, PROC, PRPF40A, PSMD1, PSMD14, PTCD3, PTPN18, PTPN4, PTPRN, PUS10, RAB1A, RANBP2, REL, RFX8, RHBDD1, RNASEH1, RNF103, RNF144A, RNF149, RNF181, RNF25, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SCRN3, SERTAD2, SF3B1, SF3B14, SLC11A1, SLC30A6, SMARCAL1, SMC6, SMEK2, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP9, SPAST, SPEG, SPOPL, SPTBN1, SRSF7, SSB, ST3GAL5, STAMBP, STAT1, STAT4, STK16, STK17B, STK36, STK39, STRADB, TAF1B, TCF7L1, TET3, TLX2, TPRKB, TRABD2A, TRAK2, TRIB2, TSN, TTL, TUBA4A, TYW5, UBE2E3, UBE2F, UBR3, UGGT1, USP34, USP37, USP39, UXS1, VAX2, WDR12, WDR33, WDR92, XPO1, XRCC5, ZC3H8, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF514, ZRANB3"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr2,GO:0034641,BP,e,cellular nitrogen compound metabolic process,181/606,269/1096,5.79e-06,3,181,0.0136,"ABCB6, ACADL, ADI1, APLF, ARID5A, ATF2, ATIC, ATOH8, ATP6V1B1, BARD1, BMPR2, BZW1, CACNB4, CALCRL, CARF, CCDC88A, CCNT2, CERS6, CIR1, CMPK2, CNNM3, CPS1, CPSF3, CWC22, DARS, DDX1, DGUOK, DPY30, DPYSL5, DUSP11, E2F6, EEF1B2, EGR4, EIF2AK2, EIF2AK3, EIF2B4, EPC2, ERCC3, FARSB, FHL2, FIGLA, FOXN2, GEMIN6, GEN1, GLS, GMPPA, GRHL1, GTF3C2, GTF3C3, HIBCH, HNRNPA3, HNRNPLL, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HSPD1, HTR2B, IDH1, IKZF2, IMP4, INO80B, INO80D, ITGB1BP1, IWS1, KDM3A, KLF11, KLF7, LBH, LBX2, LPIN1, LRPPRC, M1AP, MAT2A, MCEE, METTL5, MPHOSPH10, MRPL19, MRPL35, MRPL44, MRPS5, MSH6, MTHFD2, MXD1, MYT1L, NAB1, NABP1, NDUFS1, NFE2L2, NHEJ1, NIF3L1, NIFK, NMI, NOP58, NOTO, NR4A2, NT5C1B, NT5C1B-RDH14, ODC1, ORC2, ORC4, OSGEPL1, OSR1, PAPOLG, PAX8, PCBP1, PCGF1, PDE11A, PER2, PGAP1, PMS1, PNKD, POLR1A, POLR1B, PPIG, PPIL3, PRKRA, PRPF40A, PSMD1, PSMD14, PTCD3, PUS10, REL, RFX8, RNASEH1, RPE, RPIA, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SERTAD2, SF3B1, SF3B14, SMARCAL1, SMC6, SMPD4, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP9, SPAST, SRBD1, SRSF7, SSB, ST3GAL5, STAT1, STAT4, SUCLG1, TAF1B, TCF7L1, TET3, TLX2, TP53I3, TPRKB, TSN, TYW5, UGGT1, UPP2, USP39, UXS1, VAX2, WDR12, WDR33, XPO1, XRCC5, ZC3H8, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF514, ZRANB3"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr2,GO:0090304,BP,e,nucleic acid metabolic process,137/606,197/1096,8.5e-06,5,137,0.0149,"APLF, ARID5A, ATF2, ATOH8, BARD1, BMPR2, BZW1, CARF, CCDC88A, CCNT2, CIR1, CNNM3, CPSF3, CWC22, DARS, DDX1, DPY30, DUSP11, E2F6, EGR4, EIF2AK2, EPC2, ERCC3, FARSB, FHL2, FIGLA, FOXN2, GEMIN6, GEN1, GRHL1, GTF3C2, GTF3C3, HNRNPA3, HNRNPLL, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HSPD1, IKZF2, IMP4, INO80B, INO80D, ITGB1BP1, IWS1, KDM3A, KLF11, KLF7, LBH, LBX2, LPIN1, LRPPRC, M1AP, METTL5, MPHOSPH10, MRPL44, MSH6, MXD1, MYT1L, NAB1, NABP1, NFE2L2, NHEJ1, NIFK, NMI, NOP58, NOTO, NR4A2, ORC2, ORC4, OSGEPL1, OSR1, PAPOLG, PAX8, PCBP1, PCGF1, PER2, PGAP1, PMS1, POLR1A, POLR1B, PPIG, PPIL3, PRKRA, PRPF40A, PSMD1, PSMD14, PUS10, REL, RFX8, RNASEH1, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SERTAD2, SF3B1, SF3B14, SMARCAL1, SMC6, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP9, SPAST, SRSF7, SSB, STAT1, STAT4, TAF1B, TCF7L1, TET3, TLX2, TPRKB, TSN, TYW5, USP39, VAX2, WDR12, WDR33, XPO1, XRCC5, ZC3H8, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF514, ZRANB3"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr2,GO:0006139,BP,e,nucleobase-containing compound metabolic process,160/606,236/1096,1.22e-05,4,160,0.0172,"APLF, ARID5A, ATF2, ATIC, ATOH8, ATP6V1B1, BARD1, BMPR2, BZW1, CACNB4, CALCRL, CARF, CCDC88A, CCNT2, CIR1, CMPK2, CNNM3, CPSF3, CWC22, DARS, DDX1, DGUOK, DPY30, DPYSL5, DUSP11, E2F6, EGR4, EIF2AK2, EPC2, ERCC3, FARSB, FHL2, FIGLA, FOXN2, GEMIN6, GEN1, GMPPA, GRHL1, GTF3C2, GTF3C3, HNRNPA3, HNRNPLL, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HSPD1, HTR2B, IDH1, IKZF2, IMP4, INO80B, INO80D, ITGB1BP1, IWS1, KDM3A, KLF11, KLF7, LBH, LBX2, LPIN1, LRPPRC, M1AP, MCEE, METTL5, MPHOSPH10, MRPL44, MSH6, MXD1, MYT1L, NAB1, NABP1, NDUFS1, NFE2L2, NHEJ1, NIFK, NMI, NOP58, NOTO, NR4A2, NT5C1B, NT5C1B-RDH14, ORC2, ORC4, OSGEPL1, OSR1, PAPOLG, PAX8, PCBP1, PCGF1, PDE11A, PER2, PGAP1, PMS1, POLR1A, POLR1B, PPIG, PPIL3, PRKRA, PRPF40A, PSMD1, PSMD14, PUS10, REL, RFX8, RNASEH1, RPE, RPIA, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SERTAD2, SF3B1, SF3B14, SMARCAL1, SMC6, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP9, SPAST, SRBD1, SRSF7, SSB, STAT1, STAT4, SUCLG1, TAF1B, TCF7L1, TET3, TLX2, TP53I3, TPRKB, TSN, TYW5, UGGT1, UPP2, USP39, UXS1, VAX2, WDR12, WDR33, XPO1, XRCC5, ZC3H8, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF514, ZRANB3"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr2,GO:0016070,BP,e,RNA metabolic process         ,118/606,169/1096,3.45e-05,6,118,0.0346,"ARID5A, ATF2, ATOH8, BMPR2, BZW1, CARF, CCNT2, CIR1, CNNM3, CPSF3, CWC22, DARS, DDX1, DPY30, DUSP11, E2F6, EGR4, EIF2AK2, EPC2, ERCC3, FARSB, FHL2, FIGLA, FOXN2, GEMIN6, GRHL1, GTF3C2, GTF3C3, HNRNPA3, HNRNPLL, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, IKZF2, IMP4, INO80B, INO80D, ITGB1BP1, IWS1, KDM3A, KLF11, KLF7, LBH, LBX2, LPIN1, LRPPRC, M1AP, METTL5, MPHOSPH10, MRPL44, MXD1, MYT1L, NAB1, NFE2L2, NIFK, NMI, NOP58, NOTO, NR4A2, OSGEPL1, OSR1, PAPOLG, PAX8, PCBP1, PCGF1, PER2, POLR1A, POLR1B, PPIG, PPIL3, PRKRA, PRPF40A, PSMD1, PSMD14, PUS10, REL, RFX8, RNASEH1, RPL37A, RPS27A, RPS7, RQCD1, SERTAD2, SF3B1, SF3B14, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP9, SRSF7, SSB, STAT1, STAT4, TAF1B, TCF7L1, TLX2, TPRKB, TYW5, USP39, VAX2, WDR12, WDR33, XPO1, XRCC5, ZC3H8, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF514"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr6,GO:0065004,BP,e,protein-DNA complex assembly  ,62/482,62/921,5.76e-19,6,62,3.53e-15,"ASF1A, BRD2, CENPQ, HEY2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr6,GO:0006334,BP,e,nucleosome assembly           ,61/482,61/921,1.19e-18,7,61,3.65e-15,"ASF1A, BRD2, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr6,GO:0071824,BP,e,protein-DNA complex subunit organization,62/482,63/921,1.76e-17,5,62,2.22e-14,"ASF1A, BRD2, CENPQ, HEY2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,Cliques w/ 5+ tissue vs Links w/ 2+ tissue,chr6,GO:0034728,BP,e,nucleosome organization       ,61/482,62/921,3.57e-17,6,61,3.13e-14,"ASF1A, BRD2, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
