DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr2,GO:0043170,BP,e,macromolecule metabolic process,326/815,398/1096,1.49e-05,3,326,0.0149,"AAK1, ACVR1, ACVR1C, ACVR2A, ADAM17, AGBL5, ALS2, APLF, ARID5A, ASB1, ASB3, ASPRV1, ASTL, ATF2, ATOH8, B3GNT2, B3GNT7, BARD1, BAZ2B, BCL11A, BIRC6, BMP10, BMPR2, BRE, BZW1, C1D, C2orf40, CAD, CALM2, CAPN14, CARF, CASP10, CASP8, CCDC88A, CCNT2, CCT4, CCT7, CD28, CDK15, CDKL4, CFLAR, CHPF, CIR1, CLK1, CNNM3, CNOT11, COPS7B, COPS8, CPS1, CPSF3, CREB1, CTDSP1, CUL3, CWC22, DARS, DCAF17, DCTN1, DDX1, DGUOK, DNAJB2, DNAJC10, DNER, DNPEP, DPP4, DPY30, DUSP11, DUSP19, DUSP2, E2F6, ECEL1, EEF1B2, EGR4, EIF2AK2, EIF2AK3, EIF2B4, EPAS1, EPC2, EPHA4, ERCC3, ERLEC1, FANCL, FARSB, FBXO11, FEV, FHL2, FIGLA, FKBP1B, FKBP7, FN1, FOSL2, FOXN2, GAD1, GALNT3, GALNT5, GCG, GDF7, GEMIN6, GEN1, GFPT1, GGCX, GIGYF2, GMPPA, GPR75-ASB3, GRHL1, GTF3C2, GTF3C3, HAT1, HECW2, HES6, HNRNPA3, HNRNPLL, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HS6ST1, HSPD1, HTRA2, IFIH1, IFT172, IHH, IKZF2, IL1B, ILKAP, IMP4, INHA, INO80B, INO80D, ITGB1BP1, IWS1, KANSL3, KDM3A, KLF11, KLF7, KLHL41, LBH, LBX2, LIPT1, LPIN1, LRPPRC, LRRFIP1, M1AP, MAP2, MAP3K19, MAP3K2, MAP4K3, MAP4K4, MARCH7, MCFD2, MCM6, MERTK, METAP1D, METTL21A, METTL5, METTL8, MGAT4A, MGAT5, MOGS, MPHOSPH10, MRPL19, MRPL33, MRPL35, MRPL44, MRPS5, MSH2, MSH6, MXD1, MYO3B, MYT1L, NAB1, NABP1, NFE2L2, NHEJ1, NIFK, NLRC4, NMI, NOP58, NOTO, NPAS2, NR4A2, NRBP1, ORC2, ORC4, OSGEPL1, OSR1, PAPOLG, PAX8, PCBP1, PCGF1, PDIA6, PDK1, PELI1, PER2, PGAP1, PIGF, PIKFYVE, PMS1, PNPT1, POLR1A, POLR1B, POLR2D, POU3F3, PPIG, PPIL3, PPM1B, PPM1G, PREB, PREPL, PRKAG3, PRKCE, PRKRA, PROC, PRPF40A, PSMD1, PSMD14, PTCD3, PTMA, PTPN18, PTPN4, PTPRN, PUS10, RAB1A, RANBP2, REL, RFX8, RHBDD1, RNASEH1, RNF103, RNF144A, RNF149, RNF181, RNF25, ROCK2, RPL31, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SATB2, SCRN3, SDC1, SERTAD2, SF3B1, SF3B14, SLC11A1, SLC30A6, SMARCAL1, SMC6, SMEK2, SMYD1, SNRNP200, SNRNP27, SNRPG, SOCS5, SP100, SP110, SP5, SP9, SPAST, SPEG, SPOPL, SPTBN1, SRSF7, SSB, ST3GAL5, STAMBP, STAT1, STAT4, STK16, STK17B, STK36, STK39, STRADB, SUMO1, SUPT7L, TAF1B, TBR1, TCF7L1, TET3, TLX2, TMEM18, TPRKB, TRABD2A, TRAK2, TRIB2, TRIP12, TSN, TTL, TTLL4, TTN, TUBA4A, TYW5, UBE2E3, UBE2F, UBR3, UGGT1, USP34, USP37, USP39, UXS1, VAX2, VRK2, WDR12, WDR33, WDR92, WDSUB1, XPO1, XRCC5, ZAP70, ZC3H8, ZEB2, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF513, ZNF514, ZNF638, ZRANB3, ZSWIM2"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr2,GO:0090304,BP,e,nucleic acid metabolic process,169/815,197/1096,3.03e-05,5,169,0.0237,"APLF, ARID5A, ATF2, ATOH8, BARD1, BAZ2B, BCL11A, BMPR2, BRE, BZW1, C1D, CARF, CCDC88A, CCNT2, CIR1, CNNM3, CNOT11, CPSF3, CWC22, DARS, DDX1, DPY30, DUSP11, E2F6, EGR4, EIF2AK2, EPAS1, EPC2, ERCC3, FANCL, FARSB, FEV, FHL2, FIGLA, FOSL2, FOXN2, GEMIN6, GEN1, GRHL1, GTF3C2, GTF3C3, HES6, HNRNPA3, HNRNPLL, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HSPD1, IKZF2, IMP4, INO80B, INO80D, ITGB1BP1, IWS1, KDM3A, KLF11, KLF7, LBH, LBX2, LPIN1, LRPPRC, LRRFIP1, M1AP, MCM6, METTL5, MPHOSPH10, MRPL44, MSH2, MSH6, MXD1, MYT1L, NAB1, NABP1, NFE2L2, NHEJ1, NIFK, NMI, NOP58, NOTO, NPAS2, NR4A2, NRBP1, ORC2, ORC4, OSGEPL1, OSR1, PAPOLG, PAX8, PCBP1, PCGF1, PER2, PGAP1, PMS1, PNPT1, POLR1A, POLR1B, POLR2D, POU3F3, PPIG, PPIL3, PREB, PRKRA, PRPF40A, PSMD1, PSMD14, PTMA, PUS10, REL, RFX8, RNASEH1, RPL31, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SATB2, SERTAD2, SF3B1, SF3B14, SMARCAL1, SMC6, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP5, SP9, SPAST, SRSF7, SSB, STAT1, STAT4, SUMO1, SUPT7L, TAF1B, TBR1, TCF7L1, TET3, TLX2, TMEM18, TPRKB, TRIP12, TSN, TYW5, USP39, VAX2, WDR12, WDR33, XPO1, XRCC5, ZC3H8, ZEB2, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF513, ZNF514, ZNF638, ZRANB3"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr2,GO:0006139,BP,e,nucleobase-containing compound metabolic process,199/815,236/1096,5.02e-05,4,199,0.0294,"APLF, ARID5A, ATF2, ATIC, ATOH8, ATP6V1B1, BARD1, BAZ2B, BCL11A, BMPR2, BRE, BZW1, C1D, CACNB4, CAD, CALCRL, CARF, CCDC88A, CCNT2, CIR1, CMPK2, CNNM3, CNOT11, CPSF3, CWC22, DARS, DDX1, DGUOK, DPY30, DPYSL5, DUSP11, E2F6, EGR4, EIF2AK2, EPAS1, EPC2, ERCC3, FANCL, FARSB, FEV, FHL2, FIGLA, FOSL2, FOXN2, GEMIN6, GEN1, GFPT1, GMPPA, GRHL1, GTF3C2, GTF3C3, HES6, HK2, HNRNPA3, HNRNPLL, HOXD1, HOXD10, HOXD11, HOXD12, HOXD13, HOXD3, HOXD4, HOXD8, HOXD9, HSPD1, HTR2B, IDH1, IKZF2, IMP4, INO80B, INO80D, ITGB1BP1, IWS1, KDM3A, KLF11, KLF7, KYNU, LBH, LBX2, LPIN1, LRPPRC, LRRFIP1, M1AP, MCEE, MCM6, MDH1, METTL5, MPHOSPH10, MRPL44, MSH2, MSH6, MXD1, MYT1L, NAB1, NABP1, NDUFA10, NDUFS1, NFE2L2, NHEJ1, NIFK, NMI, NOP58, NOTO, NPAS2, NR4A2, NRBP1, NT5C1B, NT5C1B-RDH14, ORC2, ORC4, OSGEPL1, OSR1, PAPOLG, PAX8, PCBP1, PCGF1, PDE11A, PER2, PGAP1, PMS1, PNPT1, POLR1A, POLR1B, POLR2D, POU3F3, PPIG, PPIL3, PREB, PRKRA, PRPF40A, PSMD1, PSMD14, PTMA, PUS10, REL, RFX8, RNASEH1, RPE, RPIA, RPL31, RPL37A, RPS27A, RPS7, RQCD1, RRM2, SATB2, SERTAD2, SF3B1, SF3B14, SMARCAL1, SMC6, SMYD1, SNRNP200, SNRNP27, SNRPG, SP100, SP110, SP5, SP9, SPAST, SRBD1, SRSF7, SSB, STAT1, STAT4, SUCLG1, SULT1C2, SUMO1, SUPT7L, TAF1B, TBR1, TCF7L1, TET3, TLX2, TMEM18, TP53I3, TPRKB, TRIP12, TSN, TYW5, UGGT1, UPP2, USP39, UXS1, VAX2, WDR12, WDR33, XPO1, XRCC5, ZC3H8, ZEB2, ZFP36L2, ZNF142, ZNF2, ZNF512, ZNF513, ZNF514, ZNF638, ZRANB3"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr4,GO:1901265,MF,e,nucleoside phosphate binding  ,69/388,81/601,1.65e-05,3,69,0.0284,"AASDH, ABCE1, ABCG2, ACOX3, ACSL1, ALPK1, ARL9, ATP10D, ATP8A1, BBS12, BDH2, BMP2K, BMPR1B, CBR4, CDKL2, CENPE, CLCN3, CPEB2, CTBP1, DCK, DDX60, DDX60L, DHX15, ETFDH, FIP1L1, G3BP2, GRK4, GRPEL1, GRSF1, GUCY1A3, GUCY1B3, GUF1, HADH, HELQ, HNRNPD, HNRNPDL, HPGD, HSPA4L, KIAA0232, LARP7, MAPK10, MMAA, N4BP2, NEK1, NOA1, PAICS, PAPSS1, PDE5A, PDGFRA, PET112, PI4K2B, PLK4, QDPR, RAB28, RAB33B, RAPGEF2, RASL11B, RBM46, RHOH, SEPT11, SLC30A9, SMARCA5, SMARCAD1, SPATA5, TBCK, TEC, TXK, UBA6, UBE2D3"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr4,GO:0000166,MF,e,nucleotide binding            ,69/388,81/601,1.65e-05,4,69,0.0284,"AASDH, ABCE1, ABCG2, ACOX3, ACSL1, ALPK1, ARL9, ATP10D, ATP8A1, BBS12, BDH2, BMP2K, BMPR1B, CBR4, CDKL2, CENPE, CLCN3, CPEB2, CTBP1, DCK, DDX60, DDX60L, DHX15, ETFDH, FIP1L1, G3BP2, GRK4, GRPEL1, GRSF1, GUCY1A3, GUCY1B3, GUF1, HADH, HELQ, HNRNPD, HNRNPDL, HPGD, HSPA4L, KIAA0232, LARP7, MAPK10, MMAA, N4BP2, NEK1, NOA1, PAICS, PAPSS1, PDE5A, PDGFRA, PET112, PI4K2B, PLK4, QDPR, RAB28, RAB33B, RAPGEF2, RASL11B, RBM46, RHOH, SEPT11, SLC30A9, SMARCA5, SMARCAD1, SPATA5, TBCK, TEC, TXK, UBA6, UBE2D3"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr4,GO:1901363,MF,e,heterocyclic compound binding ,126/388,161/601,2.02e-05,2,126,0.0284,"AADAT, AASDH, ABCE1, ABCG2, ACOX3, ACSL1, AIMP1, ALPK1, ANKRD17, ARL9, ATP10D, ATP8A1, BBS12, BDH2, BMP2K, BMPR1B, BOD1L1, CBR4, CDKL2, CDKN2AIP, CENPC, CENPE, CLCN3, CLOCK, CPEB2, CTBP1, CXXC4, CYP2U1, CYP4V2, DCHS2, DCK, DDX60, DDX60L, DHX15, EIF4E, ELF2, ETFDH, ETNPPL, EXOSC9, FAM200B, FIP1L1, G3BP2, GAR1, GRK4, GRPEL1, GRSF1, GSX2, GUCY1A3, GUCY1B3, GUF1, H2AFZ, HADH, HELQ, HMGB2, HNRNPD, HNRNPDL, HPGD, HSPA4L, ING2, IRF2, KIAA0232, LARP1B, LARP7, LCORL, LEF1, LIN54, LSM6, MAPK10, MMAA, MND1, MRPL1, MXD4, N4BP2, NAF1, NEIL3, NEK1, NEUROG2, NFKB1, NKX3-2, NKX6-1, NOA1, NOP14, NR3C2, PAICS, PAPSS1, PDE5A, PDGFRA, PET112, PGRMC2, PI4K2B, PLK4, POLR2B, PRDM5, PRDM8, QDPR, RAB28, RAB33B, RAPGEF2, RASL11B, RBM46, RBPJ, REST, RHOH, RPL34, RPS3A, SAP30, SEPSECS, SEPT11, SLC30A9, SMARCA5, SMARCAD1, SPATA5, SRP72, TADA2B, TBCK, TEC, THAP6, THAP9, TIGD2, TLR3, TXK, UBA6, UBE2D3, ZCCHC4, ZNF518B, ZNF827"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr4,GO:0097159,MF,e,organic cyclic compound binding,127/388,163/601,2.3e-05,2,127,0.0284,"AADAT, AASDH, ABCE1, ABCG2, ACOX3, ACSL1, AIMP1, ALPK1, ANKRD17, ARL9, ATP10D, ATP8A1, BBS12, BDH2, BMP2K, BMPR1B, BOD1L1, CBR4, CDKL2, CDKN2AIP, CENPC, CENPE, CLCN3, CLOCK, CPEB2, CTBP1, CXXC4, CYP2U1, CYP4V2, DCHS2, DCK, DDX60, DDX60L, DHX15, DRD5, EIF4E, ELF2, ETFDH, ETNPPL, EXOSC9, FAM200B, FIP1L1, G3BP2, GAR1, GRK4, GRPEL1, GRSF1, GSX2, GUCY1A3, GUCY1B3, GUF1, H2AFZ, HADH, HELQ, HMGB2, HNRNPD, HNRNPDL, HPGD, HSPA4L, ING2, IRF2, KIAA0232, LARP1B, LARP7, LCORL, LEF1, LIN54, LSM6, MAPK10, MMAA, MND1, MRPL1, MXD4, N4BP2, NAF1, NEIL3, NEK1, NEUROG2, NFKB1, NKX3-2, NKX6-1, NOA1, NOP14, NR3C2, PAICS, PAPSS1, PDE5A, PDGFRA, PET112, PGRMC2, PI4K2B, PLK4, POLR2B, PRDM5, PRDM8, QDPR, RAB28, RAB33B, RAPGEF2, RASL11B, RBM46, RBPJ, REST, RHOH, RPL34, RPS3A, SAP30, SEPSECS, SEPT11, SLC30A9, SMARCA5, SMARCAD1, SPATA5, SRP72, TADA2B, TBCK, TEC, THAP6, THAP9, TIGD2, TLR3, TXK, UBA6, UBE2D3, ZCCHC4, ZNF518B, ZNF827"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr4,GO:0043168,MF,e,anion binding                 ,68/388,80/601,2.6e-05,3,68,0.0284,"AADAT, AASDH, ABCE1, ABCG2, ACOX3, ACSL1, ADH5, ALPK1, ARAP2, ARL9, ATP10D, ATP8A1, BBS12, BMP2K, BMPR1B, CBR4, CDKL2, CENPE, CLCN3, DAPP1, DCK, DDX60, DDX60L, DHX15, ETFDH, ETNPPL, FABP2, FIP1L1, GRK4, GUCY1A3, GUCY1B3, GUF1, HADH, HELQ, HPGD, HSPA4L, KIAA0232, LRAT, MAPK10, MMAA, N4BP2, NEK1, NOA1, PAICS, PAPSS1, PDE5A, PDGFRA, PET112, PI4K2B, PLK4, QDPR, RAB28, RAB33B, RAPGEF2, RASL11B, RHOH, SEPSECS, SEPT11, SMARCA5, SMARCAD1, SNCA, SPATA5, TBCK, TEC, TRPC3, TXK, UBA6, UBE2D3"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr4,GO:0036094,MF,e,small molecule binding        ,77/388,93/601,5e-05,2,77,0.039,"AADAT, AASDH, ABCE1, ABCG2, ACOX3, ACSL1, ALPK1, ARL9, ATP10D, ATP8A1, BBS12, BDH2, BMP2K, BMPR1B, CBR4, CDKL2, CENPE, CLCN3, CPEB2, CTBP1, DCK, DDX60, DDX60L, DHX15, ETFDH, ETNPPL, FIP1L1, G3BP2, GRK4, GRPEL1, GRSF1, GUCY1A3, GUCY1B3, GUF1, HADH, HELQ, HNRNPD, HNRNPDL, HPGD, HSPA4L, KIAA0232, LARP7, LRAT, MANBA, MAPK10, MMAA, N4BP2, NEK1, NOA1, PAICS, PAPSS1, PDE5A, PDGFRA, PET112, PI4K2B, PLK4, POLR2B, QDPR, RAB28, RAB33B, RAPGEF2, RASL11B, RBM46, RHOH, SEPSECS, SEPT11, SLC30A9, SMARCA5, SMARCAD1, SNCA, SPATA5, TBCK, TEC, TRPC3, TXK, UBA6, UBE2D3"
Blood cell pcHi-C,Cycles C3 w/ 2+ tissue vs Links w/ 2+ tissue,chr5,GO:0098609,BP,e,cell-cell adhesion            ,66/554,70/779,7.19e-07,3,66,0.00445,"CDHR2, CTNNA1, CTNND2, CYFIP2, FAT2, FER, GOLPH3, GPR98, MEGF10, PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA11, PCDHA12, PCDHA13, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHAC1, PCDHAC2, PCDHB1, PCDHB10, PCDHB11, PCDHB12, PCDHB13, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB4, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA12, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7, PCDHGC3, PCDHGC4, PCDHGC5, STK10, THBS4, TNIP1"
